model,Condition,AP_50_95,AP_50,AR_100,Precision,Recall,F1_score,Mean_confidence,Column1
YOLOv8,Blur Severe,0.1625535654290708,0.2259864051192189,0.1904581666512854,0.6695683714182082,0.277844672,0.3927241782789065,0.557503132,
YOLOv8,CLAHE Severe,0.3111955135606196,0.4139676511182977,0.3539611211275464,0.7098597919493442,0.4724563515954244,0.5673233327308874,0.5880743438897765,
YOLOv8,Low-Light Severe,0.3067121429727843,0.4073557069987843,0.3501065051289641,0.7067583046964491,0.4643287176399759,0.5604505404668907,0.588121909,
YOLOv8,Normal,0.3317861080341439,0.4425476269926872,0.3798904052983016,0.6861195542046606,0.5096327513546056,0.5848518870368771,0.5880369934388328,
SSD MobileNet,Blur Severe,0.1398550992984781,0.2142955945177627,0.1656844872956634,0.6203288490284006,0.2498494882600843,0.3562231759656653,0.6009808517602705,
SSD MobileNet,CLAHE Severe,0.1978752390803355,0.2952292246717608,0.2297163736357751,0.6518611197998123,0.3136664659843468,0.4235341936795041,0.6451563799068039,
SSD MobileNet,Low-Light Severe,0.1908450804814769,0.2853932546658622,0.2214109326635057,0.6474338540006376,0.3056893437688139,0.4152949596155812,0.636530026,
SSD MobileNet,Normal,0.2091525423193601,0.3138241339739294,0.2415126782234158,0.6337142857142857,0.3338350391330524,0.4373028391167192,0.6435767651540892,
Faster R-CNN,Blur Severe,0.1515796682553793,0.2453363771175698,0.2106624635408977,0.3259459459459459,0.3630343166767008,0.3434918826545144,0.5988920448478815,
Faster R-CNN,CLAHE Severe,0.3267454424218715,0.5108449170561374,0.4115664425822067,0.3893853729710013,0.6426851294400964,0.4849517319704713,0.636556641,
Faster R-CNN,Low-Light Severe,0.3223946876125746,0.5060288693546893,0.4019760072291553,0.4114613738081338,0.6365141481035521,0.4998227159910176,0.642373586,
Faster R-CNN,Normal,0.372114774,0.577276906,0.4709426344965871,0.3541057860900058,0.729530403,0.4767853629746213,0.6357536699659883,
