run,TP,FP,FN,Precision,Recall,F1_score,Mean_confidence,Confidence_drop,Num_predictions
blur_medium,3569,6798,3075,0.3442654577023247,0.5371763997591812,0.4196108400446769,0.6240126473028358,0.011741022663152467,10367
blur_mild,4374,7910,2270,0.3560729404102898,0.6583383503913305,0.4621724429416737,0.6343789493676624,0.0013747205983258848,12284
blur_severe,2412,4988,4232,0.32594594594594595,0.3630343166767008,0.3434918826545144,0.5988920448478815,0.036861625118106756,7400
clahe_medium,4542,7753,2102,0.36941846278975193,0.6836243226971703,0.47964517661967365,0.6328774036891871,0.0028762662768011538,12295
clahe_mild,4639,8348,2005,0.3572033572033572,0.6982239614689946,0.4726198359737151,0.6308122834776899,0.004941386488298338,12987
clahe_severe,4270,6696,2374,0.3893853729710013,0.6426851294400964,0.4849517319704713,0.636556640925056,-0.0008029709590677836,10966
gamma_clahe_medium,4584,8131,2060,0.3605190719622493,0.6899458157736303,0.4735781806911513,0.6297227646298545,0.006030905336133707,12715
gamma_clahe_mild,4640,8488,2004,0.3534430225472273,0.6983744732089103,0.4693505968035606,0.6298340851830354,0.005919584782952847,13128
gamma_clahe_severe,4310,7497,2334,0.3650376895062251,0.6487055990367249,0.46718335049590803,0.6279688108438883,0.007784859122099919,11807
gamma_medium,4522,7579,2122,0.37368812494835135,0.6806140878988561,0.482475326753801,0.6372885210150954,-0.001534851049107111,12101
gamma_mild,4676,8036,1968,0.36784140969163,0.703792895845876,0.48315767720603436,0.6383970726686989,-0.0026434027027106843,12712
gamma_severe,4038,6512,2606,0.3827488151658768,0.6077664057796508,0.46969873211585433,0.6312363165645237,0.00451735340146453,10550
low_light_medium,4554,7240,2090,0.38612853993556046,0.6854304635761589,0.49397982427595183,0.6394801815349166,-0.003726511568928337,11794
low_light_mild,4704,8010,1940,0.3699858423784804,0.708007224563516,0.48600061989874993,0.6357045215603614,4.914840562686429e-05,12714
low_light_severe,4229,6049,2415,0.41146137380813386,0.6365141481035521,0.49982271599101763,0.642373585807115,-0.006619915841126756,10278
normal,4847,8841,1797,0.35410578609000587,0.729530403371463,0.4767853629746213,0.6357536699659883,0.0,13688
