run,TP,FP,FN,Precision,Recall,F1_score,Mean_confidence,Confidence_drop,Num_predictions
blur_medium,1977,1033,4667,0.6568106312292359,0.29756170981336544,0.4095711622125544,0.6344458803683024,0.00913088478578683,3010
blur_mild,2131,1127,4513,0.6540822590546348,0.3207405177603853,0.43041809735406983,0.6482556961188659,-0.004678930964776673,3258
blur_severe,1660,1016,4984,0.6203288490284006,0.2498494882600843,0.3562231759656653,0.6009808517602705,0.04259591339381874,2676
clahe_medium,2138,1194,4506,0.641656662665066,0.3217940999397953,0.42862870890136323,0.6445119205553707,-0.0009351554012814178,3332
clahe_mild,2189,1212,4455,0.6436342252278742,0.3294701986754967,0.43583872573419613,0.6427720189182171,0.0008047462358721225,3401
clahe_severe,2084,1113,4560,0.6518611197998123,0.3136664659843468,0.4235341936795041,0.6451563799068039,-0.0015796147527146198,3197
gamma_clahe_medium,2153,1173,4491,0.6473241130487072,0.324051776038531,0.4318956870611836,0.6447296472590012,-0.0011528821049119342,3326
gamma_clahe_mild,2199,1217,4445,0.6437353629976581,0.3309753160746538,0.43717693836978133,0.6410461546334086,0.0025306105206805984,3416
gamma_clahe_severe,2097,1130,4547,0.6498295630616672,0.31562311860325104,0.42488096444129264,0.6404044305000063,0.0031723346540829533,3227
gamma_medium,2133,1166,4511,0.6465595635040922,0.3210415412402167,0.4290455596902343,0.6406384838841546,0.0029382812699346728,3299
gamma_mild,2185,1221,4459,0.6415149735760423,0.32886815171583383,0.43482587064676614,0.6431676318504778,0.00040913330361147526,3406
gamma_severe,1990,1070,4654,0.6503267973856209,0.2995183624322697,0.41014014839241547,0.6362399945266886,0.007336770627400679,3060
low_light_medium,2127,1166,4517,0.6459155784998482,0.32013847080072244,0.42809701117037335,0.644681488720074,-0.0011047235659847887,3293
low_light_mild,2170,1220,4474,0.640117994100295,0.3266104756170981,0.43252940003986445,0.6454975313493284,-0.0019207661952391764,3390
low_light_severe,2031,1106,4613,0.6474338540006376,0.30568934376881396,0.4152949596155812,0.636530026180713,0.007046738973376265,3137
normal,2218,1282,4426,0.6337142857142857,0.3338350391330524,0.43730283911671924,0.6435767651540892,0.0,3500
